name,details,link
Indiana,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/indiana-54135175/il/huntley/animal-house-shelter-il192/
Bestboy,Young Male Great Dane & German Shepherd Dog Mix,https://www.petfinder.com/dog/bestboy-54132904/il/huntley/animal-house-shelter-il192/
Sassy,Young Female Boxer,https://www.petfinder.com/dog/sassy-54004815/il/huntley/animal-house-shelter-il192/
Bucky,Young Male American Staffordshire Terrier & Black Labrador Retriever Mix,https://www.petfinder.com/dog/bucky-53933507/il/huntley/animal-house-shelter-il192/
Snickers,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/snickers-53931600/il/huntley/animal-house-shelter-il192/
Pandora,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/pandora-53931334/il/huntley/animal-house-shelter-il192/
Flora,Young Female Mastiff Mix,https://www.petfinder.com/dog/flora-53911053/il/huntley/animal-house-shelter-il192/
Maha,Young Female Jindo Mix,https://www.petfinder.com/dog/maha-53911017/il/huntley/animal-house-shelter-il192/
Dude,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/dude-53910994/il/huntley/animal-house-shelter-il192/
Skittles,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/skittles-53862069/il/huntley/animal-house-shelter-il192/
Pippa,Young Female Yellow Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/pippa-53673952/il/huntley/animal-house-shelter-il192/
J.R.,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/jr-53671753/il/huntley/animal-house-shelter-il192/
Pocus,Young Male German Shepherd Dog & Cattle Dog Mix,https://www.petfinder.com/dog/pocus-53642373/il/huntley/animal-house-shelter-il192/
Wonder,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/wonder-53520105/il/huntley/animal-house-shelter-il192/
Boo,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/boo-53388796/il/huntley/animal-house-shelter-il192/
Reeses,Young Male American Staffordshire Terrier & Australian Shepherd Mix,https://www.petfinder.com/dog/reeses-53340023/il/huntley/animal-house-shelter-il192/
Zeus,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/zeus-53311570/il/huntley/animal-house-shelter-il192/
Cherie,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/cherie-53298509/il/huntley/animal-house-shelter-il192/
Bell,Young Female American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/bell-53241927/il/huntley/animal-house-shelter-il192/
Julian,Young Male Shetland Sheepdog / Sheltie & Pointer Mix,https://www.petfinder.com/dog/julian-53209034/il/huntley/animal-house-shelter-il192/
Brody,Young Male Australian Shepherd & Shetland Sheepdog / Sheltie Mix,https://www.petfinder.com/dog/brody-53110382/il/huntley/animal-house-shelter-il192/
Jasper,Young Male American Staffordshire Terrier & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/jasper-53101231/il/huntley/animal-house-shelter-il192/
Indie,Young Male Husky,https://www.petfinder.com/dog/indie-52717227/il/huntley/animal-house-shelter-il192/
Lizzie,Young Female Yellow Labrador Retriever & Collie Mix,https://www.petfinder.com/dog/lizzie-52488591/il/huntley/animal-house-shelter-il192/
Chevy,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/chevy-52291954/il/huntley/animal-house-shelter-il192/
Bowie,Young Male Jindo,https://www.petfinder.com/dog/bowie-52282248/il/huntley/animal-house-shelter-il192/
Coco Chanel,Young Female American Staffordshire Terrier & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/coco-chanel-52206739/il/huntley/animal-house-shelter-il192/
Rusty,Young Male American Staffordshire Terrier & Cattle Dog Mix,https://www.petfinder.com/dog/rusty-51859482/il/huntley/animal-house-shelter-il192/
Poppy,Young Female Black Labrador Retriever & Husky Mix,https://www.petfinder.com/dog/poppy-51619088/il/huntley/animal-house-shelter-il192/
Rudy,Young Male Chocolate Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/rudy-51541093/il/huntley/animal-house-shelter-il192/
Coraline,Young Female American Staffordshire Terrier & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/coraline-51466929/il/huntley/animal-house-shelter-il192/
Richochet,Young Male Australian Cattle Dog / Blue Heeler & Australian Shepherd Mix,https://www.petfinder.com/dog/richochet-51416983/il/huntley/animal-house-shelter-il192/
Samantha,Young Female Cattle Dog & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/samantha-51416657/il/huntley/animal-house-shelter-il192/
Prudence,Young Female Australian Shepherd & Cattle Dog Mix,https://www.petfinder.com/dog/prudence-51170759/il/huntley/animal-house-shelter-il192/
Miss Piggy,Young Female American Staffordshire Terrier & Bull Terrier Mix,https://www.petfinder.com/dog/miss-piggy-51110291/il/huntley/animal-house-shelter-il192/
Alaba,Young Female American Staffordshire Terrier & Vizsla Mix,https://www.petfinder.com/dog/alaba-51093596/il/huntley/animal-house-shelter-il192/
Bella,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/bella-50844331/il/huntley/animal-house-shelter-il192/
Jimmy,Young Male American Bulldog & Boxer Mix,https://www.petfinder.com/dog/jimmy-50790845/il/huntley/animal-house-shelter-il192/
Buster,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/buster-50259520/il/huntley/animal-house-shelter-il192/
Sport,Young Male American Staffordshire Terrier & Border Collie Mix,https://www.petfinder.com/dog/sport-49706819/il/huntley/animal-house-shelter-il192/
Zoey,Young Female American Staffordshire Terrier & Basset Hound Mix,https://www.petfinder.com/dog/zoey-48939109/il/huntley/animal-house-shelter-il192/
Yale,Young Male German Shepherd Dog & Akita Mix,https://www.petfinder.com/dog/yale-47249023/il/huntley/animal-house-shelter-il192/
Huntley,Young Female German Shepherd Dog & Cattle Dog Mix,https://www.petfinder.com/dog/huntley-46300952/il/huntley/animal-house-shelter-il192/
Ollie,Young Male Greyhound & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/ollie-45350887/il/huntley/animal-house-shelter-il192/
Domino,Young Male Border Collie & Australian Shepherd Mix,https://www.petfinder.com/dog/domino-45250224/il/huntley/animal-house-shelter-il192/
Oliver,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/oliver-44780852/il/huntley/animal-house-shelter-il192/
Beau,Young Male Schnauzer & Labrador Retriever Mix,https://www.petfinder.com/dog/beau-44467502/il/huntley/animal-house-shelter-il192/
Sandy,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/sandy-54419238/il/genoa/the-barn-on-baseline-animal-shelter-adoption-center-il81/
Vinny ,Young Male Great Pyrenees & Husky Mix,https://www.petfinder.com/dog/vinny-54787842/il/sycamore/island-dog-inc-il557-il557/
Latte,Young Female Hound & Coonhound Mix,https://www.petfinder.com/dog/latte-54908633/il/grayslake/homes-for-animal-heroes-il969/
Rebel,Young Male Doberman Pinscher Mix,https://www.petfinder.com/dog/rebel-53330524/il/hainesville/wagging-hearts-il663/
