name,details,link,img
Daisy,Young Female Terrier Mix,https://www.petfinder.com/dog/daisy-50298020/il/buffalo-grove/treasured-animal-rescue-inc-il879/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50298020/1/?bust=1610882772&width=300
Titi,Young Female Beagle & Border Collie Mix,https://www.petfinder.com/dog/titi-54530438/il/barrington-hills/fur-keeps-animal-rescue-inc-il370/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54530438/1/?bust=1644113181&width=300
Bear,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/bear-55094540/il/gilberts/project-hope-animal-rescue-il976/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55094540/1/?bust=1648128770&width=300
Sabarka,Young Male Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/sabarka-53769116/il/gilberts/home-sweet-home-pet-rescue-il873/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53769116/3/?bust=1648312630&width=300
DAISY,Young Female German Shepherd Dog,https://www.petfinder.com/dog/daisy-55203092/il/lake-in-the-hills/chi-paw-rescue-inc-il978/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55203092/1/?bust=1649088451&width=300
Shiloh,Young Female Labrador Retriever & Hound Mix,https://www.petfinder.com/dog/shiloh-55152107/il/lake-in-the-hills/bark-of-an-angel-dog-rescueinc-il951/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55152107/1/?bust=1648646606&width=300
Pumkin,Young Female Terrier Mix,https://www.petfinder.com/dog/pumkin-55170269/il/crete/dogs-are-deserving-il822/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55170269/4/?bust=1649094744&width=300
Mowgli,Young Male Siberian Husky,https://www.petfinder.com/dog/mowgli-53447993/il/crystal-lake/forever-husky-il-il772/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53447993/1/?bust=1649155513&width=300
River,Young Male Shepherd & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/river-54609920/il/crystal-lake/paws-and-affect-animal-rescue-il943/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54609920/1/?bust=1644773188&width=300
Chewie,Young Male Boxer & Coonhound Mix,https://www.petfinder.com/dog/chewie-55284300/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55284300/1/?bust=1649794882&width=300
Ruby,Young Female American Staffordshire Terrier & Chocolate Labrador Retriever Mix,https://www.petfinder.com/dog/ruby-55283701/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55283701/1/?bust=1649792275&width=300
Beret,Young Female German Shepherd Dog & Collie Mix,https://www.petfinder.com/dog/beret-55282916/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55282916/1/?bust=1649789009&width=300
Chase,Young Male Wire Fox Terrier & Border Terrier Mix,https://www.petfinder.com/dog/chase-55282551/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55282551/1/?bust=1649786853&width=300
Shooter,Young Male Beagle,https://www.petfinder.com/dog/shooter-55246287/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55246287/1/?bust=1649428726&width=300
Bonnie,Young Female Airedale Terrier & Husky Mix,https://www.petfinder.com/dog/bonnie-55229866/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55229866/1/?bust=1649274025&width=300
Buddha,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/buddha-55206415/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55206415/1/?bust=1649103389&width=300
Bear,Young Male Bloodhound & German Shepherd Dog Mix,https://www.petfinder.com/dog/bear-55206280/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55206280/1/?bust=1649102696&width=300
Skeeter,Young Male Husky & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/skeeter-55203590/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55203590/1/?bust=1649091737&width=300
Brooke,Young Female American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/brooke-55183672/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55183672/1/?bust=1648847287&width=300
Berry,Young Male American Staffordshire Terrier & Pointer Mix,https://www.petfinder.com/dog/berry-55177349/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55177349/1/?bust=1648824263&width=300
Froggy,Young Male American Staffordshire Terrier & Bull Terrier Mix,https://www.petfinder.com/dog/froggy-55163844/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55163844/1/?bust=1648736513&width=300
